performance_id,student_id,year,class_name,subject,total_score,teacher_id,family_id,total_attendance,score_range
1,1001,2019,JS1A,Mathematics,52,204,5001,164,50-59
2,1001,2019,JS1A,English Language,60,201,5001,158,60-69
3,1001,2019,JS1A,Civic Education,33,216,5001,121,30-39
4,1001,2019,JS1A,Basic Science,42,207,5001,144,40-49
5,1001,2019,JS1A,Basic Technology,56,210,5001,179,50-59
6,1001,2019,JS1A,Social Studies,43,213,5001,131,40-49
7,1001,2020,JS2A,Mathematics,51,204,5001,162,50-59
8,1001,2020,JS2A,English Language,38,201,5001,136,30-39
9,1001,2020,JS2A,Civic Education,33,216,5001,139,30-39
10,1001,2020,JS2A,Basic Science,69,207,5001,171,60-69
11,1001,2020,JS2A,Basic Technology,48,210,5001,148,40-49
12,1001,2020,JS2A,Social Studies,32,213,5001,123,30-39
13,1001,2021,JS3A,Mathematics,71,204,5001,198,70-79
14,1001,2021,JS3A,English Language,84,201,5001,193,80-89
15,1001,2021,JS3A,Civic Education,74,216,5001,192,70-79
16,1001,2021,JS3A,Basic Science,37,207,5001,120,30-39
17,1001,2021,JS3A,Basic Technology,47,210,5001,132,40-49
18,1001,2021,JS3A,Social Studies,42,213,5001,140,40-49
19,1001,2022,SS1A,Mathematics,49,204,5001,135,40-49
20,1001,2022,SS1A,English Language,48,201,5001,149,40-49
21,1001,2022,SS1A,Civic Education,77,216,5001,182,70-79
22,1001,2022,SS1A,Literature-in-English,49,228,5001,122,40-49
23,1001,2022,SS1A,Government,43,231,5001,147,40-49
24,1001,2022,SS1A,History,55,234,5001,175,50-59
25,1001,2023,SS2A,Mathematics,37,204,5001,148,30-39
26,1001,2023,SS2A,English Language,38,201,5001,133,30-39
27,1001,2023,SS2A,Civic Education,98,216,5001,197,90-100
28,1001,2023,SS2A,Literature-in-English,58,228,5001,180,50-59
29,1001,2023,SS2A,Government,95,231,5001,195,90-100
30,1001,2023,SS2A,History,59,234,5001,158,50-59
31,1002,2019,JS1A,Mathematics,42,204,5002,130,40-49
32,1002,2019,JS1A,English Language,35,201,5002,126,30-39
33,1002,2019,JS1A,Civic Education,33,216,5002,143,30-39
34,1002,2019,JS1A,Basic Science,60,207,5002,171,60-69
35,1002,2019,JS1A,Basic Technology,41,210,5002,145,40-49
36,1002,2019,JS1A,Social Studies,52,213,5002,156,50-59
37,1002,2020,JS2A,Mathematics,95,204,5002,186,90-100
38,1002,2020,JS2A,English Language,96,201,5002,181,90-100
39,1002,2020,JS2A,Civic Education,54,216,5002,177,50-59
40,1002,2020,JS2A,Basic Science,93,207,5002,200,90-100
41,1002,2020,JS2A,Basic Technology,60,210,5002,163,60-69
42,1002,2020,JS2A,Social Studies,42,213,5002,123,40-49
43,1002,2021,JS3A,Mathematics,82,204,5002,185,80-89
44,1002,2021,JS3A,English Language,54,201,5002,157,50-59
45,1002,2021,JS3A,Civic Education,39,216,5002,136,30-39
46,1002,2021,JS3A,Basic Science,47,207,5002,127,40-49
47,1002,2021,JS3A,Basic Technology,57,210,5002,175,50-59
48,1002,2021,JS3A,Social Studies,49,213,5002,135,40-49
49,1002,2022,SS1A,Mathematics,43,204,5002,136,40-49
50,1002,2022,SS1A,English Language,49,201,5002,140,40-49
51,1002,2022,SS1A,Civic Education,43,216,5002,135,40-49
52,1002,2022,SS1A,Literature-in-English,59,228,5002,166,50-59
53,1002,2022,SS1A,Government,83,231,5002,180,80-89
54,1002,2022,SS1A,History,41,234,5002,123,40-49
55,1002,2023,SS2A,Mathematics,78,204,5002,200,70-79
56,1002,2023,SS2A,English Language,54,201,5002,152,50-59
57,1002,2023,SS2A,Civic Education,49,216,5002,144,40-49
58,1002,2023,SS2A,Literature-in-English,47,228,5002,138,40-49
59,1002,2023,SS2A,Government,50,231,5002,150,50-59
60,1002,2023,SS2A,History,90,234,5002,186,90-100
61,1003,2019,JS1A,Mathematics,60,204,5003,159,60-69
62,1003,2019,JS1A,English Language,46,201,5003,120,40-49
63,1003,2019,JS1A,Civic Education,38,216,5003,134,30-39
64,1003,2019,JS1A,Basic Science,53,207,5003,151,50-59
65,1003,2019,JS1A,Basic Technology,60,210,5003,159,60-69
66,1003,2019,JS1A,Social Studies,44,213,5003,135,40-49
67,1003,2020,JS2A,Mathematics,78,204,5003,193,70-79
68,1003,2020,JS2A,English Language,62,201,5003,175,60-69
69,1003,2020,JS2A,Civic Education,67,216,5003,175,60-69
70,1003,2020,JS2A,Basic Science,39,207,5003,125,30-39
71,1003,2020,JS2A,Basic Technology,98,210,5003,180,90-100
72,1003,2020,JS2A,Social Studies,37,213,5003,144,30-39
73,1003,2021,JS3A,Mathematics,32,204,5003,149,30-39
74,1003,2021,JS3A,English Language,40,201,5003,143,40-49
75,1003,2021,JS3A,Civic Education,41,216,5003,126,40-49
76,1003,2021,JS3A,Basic Science,31,207,5003,124,30-39
77,1003,2021,JS3A,Basic Technology,58,210,5003,180,50-59
78,1003,2021,JS3A,Social Studies,40,213,5003,139,40-49
79,1003,2022,SS1A,Mathematics,51,204,5003,169,50-59
80,1003,2022,SS1A,English Language,46,201,5003,122,40-49
81,1003,2022,SS1A,Civic Education,48,216,5003,135,40-49
82,1003,2022,SS1A,Literature-in-English,48,228,5003,135,40-49
83,1003,2022,SS1A,Government,31,231,5003,144,30-39
84,1003,2022,SS1A,History,95,234,5003,190,90-100
85,1003,2023,SS2A,Mathematics,99,204,5003,184,90-100
86,1003,2023,SS2A,English Language,59,201,5003,180,50-59
